,,barcode_types,
tag,barcodeGroup,fwd,rvs
oopeg,PER104-1,Barcode1,Barcode1
oopeg,PER104-2,Barcode2,Barcode1
oopeg,PER104-3,Barcode3,Barcode1
oopeg,PER104-4,Barcode4,Barcode1
oopeg,PER104-5,Barcode5,Barcode1
oopeg,PER104-6,Barcode6,Barcode1
oopeg,PER104-7,Barcode7,Barcode1
oopeg,PER104-8,Barcode8,Barcode1
oopeg,PER104-9,Barcode1,Barcode2
oopeg,PER104-10,Barcode2,Barcode2
oopeg,PER104-11,Barcode3,Barcode2
oopeg,PER104-12,Barcode4,Barcode2
oopeg,PER104-13,Barcode5,Barcode2
oopeg,PER104-14,Barcode6,Barcode2
oopeg,PER104-15,Barcode7,Barcode2
oopeg,PER104-16,Barcode8,Barcode2
oopeg,PER104-17,Barcode1,Barcode3
oopeg,PER104-18,Barcode2,Barcode3
oopeg,PER104-19,Barcode3,Barcode3
oopeg,PER104-20,Barcode4,Barcode3
oopeg,PER104-21,Barcode5,Barcode3
oopeg,PER104-22,Barcode6,Barcode3
oopeg,PER104-23,Barcode7,Barcode3
oopeg,PER104-24,Barcode8,Barcode3
oopeg,PER104-25,Barcode1,Barcode4
oopeg,PER104-26,Barcode2,Barcode4
oopeg,PER104-27,Barcode3,Barcode4
oopeg,PER104-28,Barcode4,Barcode4
oopeg,PER104-29,Barcode5,Barcode4
oopeg,PER104-30,Barcode6,Barcode4
oopeg,PER104-31,Barcode7,Barcode4
oopeg,PER104-32,Barcode8,Barcode4
oopeg,PER104-33,Barcode1,Barcode5
oopeg,PER104-34,Barcode2,Barcode5
oopeg,PER104-35,Barcode3,Barcode5
oopeg,PER104-36,Barcode4,Barcode5
oopeg,PER104-37,Barcode5,Barcode5
oopeg,PER104-38,Barcode6,Barcode5
oopeg,PER104-39,Barcode7,Barcode5
oopeg,PER104-40,Barcode8,Barcode5
oopeg,PER104-41,Barcode1,Barcode6
oopeg,PER104-42,Barcode2,Barcode6
oopeg,PER104-43,Barcode3,Barcode6
oopeg,PER104-44,Barcode4,Barcode6
oopeg,PER104-45,Barcode5,Barcode6
oopeg,PER104-46,Barcode6,Barcode6
oopeg,PER104-47,Barcode7,Barcode6
oopeg,PER104-48,Barcode8,Barcode6
oopeg,PER104-49,Barcode1,Barcode7
oopeg,PER104-50,Barcode2,Barcode7
oopeg,PER104-51,Barcode3,Barcode7
oopeg,PER104-52,Barcode4,Barcode7
oopeg,PER104-53,Barcode5,Barcode7
oopeg,PER104-54,Barcode6,Barcode7
oopeg,PER104-55,Barcode7,Barcode7
oopeg,PER104-56,Barcode8,Barcode7
shorter-site3,PER103-123,Barcode1,Barcode1
shorter-site3,PER103-124,Barcode2,Barcode1
shorter-site3,PER103-125,Barcode3,Barcode1
shorter-site3,PER103-126,Barcode4,Barcode1
